accommodates,bathrooms,bedrooms,beds,price
5,1.0,2.0,3.0,175.0
5,1.0,1.0,2.0,120.0
1,1.0,1.0,1.0,48.0
2,1.0,1.0,1.0,70.0
1,1.0,1.0,1.0,50.0
4,1.0,1.0,1.0,138.0
3,1.0,2.0,3.0,70.0
1,1.0,1.0,1.0,75.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,70.0
1,1.0,1.0,1.0,105.0
2,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,95.0
6,1.0,1.0,4.0,135.0
2,1.0,1.0,1.0,95.0
6,1.0,2.0,2.0,174.0
7,1.0,2.0,4.0,188.0
1,1.0,1.0,1.0,68.0
2,1.0,1.0,1.0,80.0
2,1.0,1.0,1.0,59.0
1,1.0,1.0,1.0,125.0
6,1.0,2.0,3.0,130.0
3,1.0,1.0,2.0,150.0
6,1.0,2.0,4.0,100.0
4,1.0,2.0,2.0,140.0
4,1.0,2.0,2.0,100.0
3,1.0,1.0,1.0,95.0
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,29.0
4,1.0,1.0,3.0,95.0
2,1.0,1.0,1.0,59.0
1,1.0,1.0,1.0,35.0
1,1.0,1.0,1.0,45.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,55.0
2,1.0,1.0,1.0,75.0
2,1.0,1.0,2.0,80.0
1,1.0,1.0,1.0,65.0
4,1.0,1.0,2.0,95.0
1,1.0,1.0,1.0,38.0
4,1.0,1.0,1.0,60.0
2,1.0,1.0,2.0,65.0
2,1.0,1.0,1.0,60.0
4,1.0,1.0,2.0,119.0
1,1.0,1.0,1.0,125.0
2,1.5,1.0,1.0,50.0
3,1.0,1.0,1.0,70.0
1,1.0,1.0,1.0,35.0
1,1.0,1.0,1.0,45.0
1,1.0,1.0,1.0,28.0
2,1.0,1.0,1.0,65.0
3,1.0,1.0,2.0,49.0
2,1.0,1.0,2.0,49.0
2,1.0,1.0,1.0,65.0
1,1.0,1.0,1.0,45.0
2,1.0,1.0,1.0,30.0
2,1.0,1.0,1.0,39.0
3,1.0,1.0,1.0,80.0
4,1.0,2.0,2.0,125.0
3,1.0,1.0,1.0,55.0
1,1.0,1.0,1.0,25.0
1,2.0,1.0,1.0,25.0
2,1.0,1.0,2.0,98.0
1,1.0,1.0,2.0,50.0
4,1.0,1.0,2.0,115.0
1,1.0,1.0,1.0,45.0
5,1.0,2.0,5.0,85.0
1,1.0,1.0,1.0,55.0
3,1.0,1.0,2.0,81.0
4,2.5,1.0,1.0,90.0
1,1.0,1.0,1.0,39.0
5,1.0,2.0,2.0,110.0
5,1.0,3.0,2.0,79.0
5,1.0,2.0,2.0,155.0
1,1.0,1.0,1.0,85.0
2,1.5,1.0,1.0,55.0
3,1.0,1.0,1.0,69.0
10,2.0,5.0,8.0,335.0
4,1.0,1.0,1.0,87.0
4,1.0,2.0,3.0,70.0
2,1.5,1.0,1.0,69.0
6,1.0,2.0,4.0,110.0
3,1.0,1.0,1.0,100.0
2,1.0,1.0,1.0,65.0
2,1.0,1.0,1.0,55.0
2,1.5,1.0,1.0,55.0
6,1.0,2.0,3.0,99.0
2,1.0,1.0,1.0,50.0
1,1.0,2.0,1.0,51.0
2,1.0,1.0,1.0,55.0
2,4.0,1.0,1.0,50.0
1,2.0,1.0,1.0,40.0
1,1.0,1.0,1.0,35.0
1,1.0,1.0,1.0,34.0
3,1.0,1.0,1.0,70.0
3,1.0,1.0,2.0,130.0
3,3.0,1.0,2.0,60.0
4,4.0,1.0,2.0,75.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,40.0
4,3.0,2.0,2.0,80.0
4,1.0,1.0,2.0,140.0
3,4.0,1.0,2.0,55.0
1,1.0,1.0,1.0,150.0
1,1.0,1.0,1.0,37.0
2,1.0,1.0,2.0,62.0
4,3.0,1.0,2.0,80.0
3,3.0,1.0,2.0,65.0
3,1.0,1.0,1.0,65.0
2,4.0,1.0,1.0,50.0
2,1.0,1.0,1.0,65.0
2,2.0,1.0,1.0,45.0
3,1.0,1.0,1.0,42.0
3,1.0,1.0,2.0,100.0
3,3.0,1.0,2.0,60.0
2,1.0,1.0,2.0,85.0
8,2.0,3.0,3.0,280.0
5,2.0,2.0,2.0,250.0
2,1.0,1.0,1.0,80.0
4,1.5,3.0,6.0,110.0
4,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,34.0
2,1.0,1.0,1.0,39.0
1,1.0,1.0,1.0,35.0
2,1.0,1.0,1.0,43.0
6,1.0,1.0,3.0,125.0
1,1.0,1.0,1.0,31.0
6,1.0,2.0,5.0,119.0
3,1.0,1.0,2.0,80.0
4,1.0,2.0,2.0,87.0
4,1.0,2.0,2.0,120.0
10,1.5,3.0,6.0,250.0
6,1.0,2.0,4.0,125.0
16,5.0,7.0,15.0,625.0
2,1.0,1.0,1.0,68.0
2,1.0,1.0,1.0,109.0
4,1.0,1.0,2.0,119.0
2,1.0,1.0,1.0,105.0
3,1.0,1.0,2.0,69.0
2,1.0,1.0,2.0,85.0
2,1.0,1.0,1.0,80.0
6,2.0,3.0,3.0,299.0
4,1.0,1.0,1.0,85.0
4,1.0,1.0,2.0,129.0
6,1.0,2.0,3.0,250.0
4,1.0,2.0,2.0,87.0
2,1.0,2.0,2.0,150.0
4,1.0,2.0,3.0,180.0
3,2.0,2.0,2.0,50.0
3,1.0,1.0,1.0,75.0
2,1.0,1.0,1.0,75.0
6,1.0,3.0,3.0,180.0
3,1.0,1.0,1.0,75.0
2,1.0,1.0,1.0,35.0
2,1.0,1.0,2.0,86.0
1,1.0,1.0,1.0,38.0
2,1.0,1.0,2.0,90.0
1,1.0,1.0,1.0,35.0
6,2.0,2.0,2.0,150.0
2,1.0,1.0,1.0,80.0
4,1.5,1.0,3.0,250.0
2,1.0,1.0,2.0,0.0
2,1.0,1.0,2.0,124.0
16,1.0,1.0,1.0,350.0
4,1.0,1.0,2.0,180.0
1,1.0,1.0,1.0,49.0
2,2.0,1.0,1.0,129.0
1,1.0,1.0,1.0,42.0
2,1.0,1.0,1.0,60.0
3,0.0,2.0,2.0,191.0
2,1.0,1.0,1.0,95.0
2,1.0,1.0,1.0,60.0
2,1.0,1.0,2.0,0.0
8,1.0,3.0,5.0,275.0
2,1.0,1.0,1.0,150.0
3,1.0,1.0,1.0,25.0
4,1.0,2.0,1.0,150.0
2,1.0,1.0,1.0,50.0
1,1.0,1.0,1.0,35.0
2,1.0,1.0,1.0,76.0
4,1.0,1.0,2.0,92.0
2,2.0,1.0,1.0,159.0
12,2.5,3.0,5.0,250.0
10,1.5,4.0,5.0,300.0
12,4.5,5.0,8.0,715.0
8,1.0,2.0,5.0,200.0
4,1.0,1.0,2.0,100.0
2,1.0,1.0,2.0,99.0
8,2.0,4.0,5.0,450.0
2,1.0,1.0,1.0,55.0
8,1.0,2.0,6.0,200.0
2,1.5,1.0,1.0,65.0
6,1.0,2.0,2.0,160.0
2,1.0,1.0,2.0,30.0
2,1.0,1.0,2.0,30.0
2,1.0,1.0,1.0,55.0
5,1.0,1.0,2.0,150.0
4,1.0,2.0,2.0,101.0
3,1.0,2.0,2.0,50.0
2,1.0,1.0,2.0,159.0
2,1.0,1.0,1.0,0.0
2,1.0,1.0,1.0,55.0
2,2.0,1.0,1.0,129.0
3,1.0,1.0,2.0,150.0
4,1.0,1.0,3.0,125.0
3,1.0,1.0,2.0,40.0
10,2.0,3.0,6.0,225.0
1,1.0,1.0,1.0,202.0
2,1.0,1.0,1.0,69.0
7,2.0,3.0,3.0,200.0
2,1.0,1.0,2.0,100.0
1,1.0,1.0,1.0,47.0
2,1.0,1.0,1.0,75.0
2,1.5,1.0,1.0,80.0
2,1.0,1.0,1.0,65.0
2,1.0,1.0,1.0,103.0
1,1.5,1.0,1.0,45.0
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,39.0
2,1.0,1.0,1.0,100.0
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,35.0
1,1.0,1.0,1.0,59.0
1,1.0,3.0,1.0,85.0
2,1.0,1.0,1.0,55.0
2,1.0,1.0,1.0,45.0
2,1.0,1.0,1.0,200.0
2,1.0,1.0,1.0,68.0
2,1.0,1.0,1.0,45.0
4,1.0,2.0,2.0,180.0
2,1.0,1.0,1.0,85.0
2,1.0,1.0,1.0,110.0
4,1.0,1.0,1.0,110.0
5,1.0,2.0,3.0,119.0
4,1.5,2.0,2.0,200.0
3,1.0,1.0,1.0,125.0
4,1.0,2.0,2.0,120.0
2,1.0,2.0,2.0,110.0
4,1.0,2.0,2.0,125.0
4,1.0,2.0,2.0,150.0
4,1.0,1.0,1.0,179.0
2,1.0,1.0,1.0,95.0
4,1.0,1.0,1.0,200.0
2,1.0,1.0,1.0,60.0
2,2.0,1.0,1.0,55.0
2,1.0,1.0,1.0,95.0
2,1.0,1.0,1.0,47.0
4,1.0,1.0,2.0,65.0
1,1.0,1.0,1.0,150.0
1,1.0,1.0,1.0,68.0
2,1.0,1.0,1.0,85.0
1,1.0,1.0,1.0,65.0
1,1.0,1.0,1.0,55.0
1,1.0,1.0,1.0,33.0
2,1.0,1.0,1.0,75.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,77.0
2,1.0,1.0,1.0,85.0
2,1.0,1.0,1.0,75.0
3,1.0,1.0,2.0,120.0
2,1.0,1.0,1.0,50.0
2,1.5,1.0,1.0,65.0
2,1.0,1.0,1.0,85.0
1,1.5,1.0,1.0,60.0
2,1.0,1.0,1.0,55.0
2,1.0,1.0,1.0,85.0
3,1.0,1.0,2.0,85.0
5,1.0,1.0,3.0,159.0
6,1.0,1.0,2.0,110.0
4,1.0,1.0,2.0,95.0
3,1.0,1.0,1.0,200.0
4,1.0,1.0,2.0,95.0
3,1.0,1.0,1.0,68.0
4,1.0,1.0,3.0,170.0
3,1.0,1.0,1.0,125.0
5,1.0,2.0,2.0,130.0
5,1.0,2.0,3.0,99.0
4,1.0,2.0,2.0,160.0
2,1.0,1.0,1.0,130.0
7,1.0,3.0,4.0,325.0
2,1.0,2.0,1.0,100.0
6,1.0,3.0,3.0,175.0
4,1.0,1.0,2.0,180.0
4,1.0,1.0,1.0,95.0
5,1.0,1.0,1.0,95.0
2,1.0,1.0,1.0,80.0
9,2.0,2.0,5.0,290.0
3,1.0,2.0,2.0,90.0
3,1.0,1.0,1.0,100.0
4,1.0,1.0,2.0,180.0
1,1.0,1.0,1.0,110.0
1,1.0,1.0,1.0,65.0
2,1.0,1.0,1.0,50.0
1,1.5,1.0,1.0,100.0
